VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost,TotalCost
V001,CD01,53,CD01-C010-C016-C024-C011-CD01,4,15-10-11-17,49.979,1.666,23275.7,210883.17
V002,CD01,55,CD01-C006-C015-C013-CD01,3,17-17-21,33.994,1.133,15831.3,159426.96
V003,CD01,48,CD01-C004-C001-C009-CD01,3,15-13-20,39.056,1.302,18188.93,175723.04
V004,CD01,42,CD01-C014-C003-C002-CD01,3,15-12-15,21.325,0.711,9931.29,118645.75
V005,CD01,55,CD01-C022-C017-C018-CD01,3,18-25-12,34.071,1.136,15867.57,159677.72
V006,CD01,42,CD01-C021-C007-C019-CD01,3,14-17-11,35.186,1.173,16386.76,163266.34
V007,CD01,42,CD01-C020-C012-C023-CD01,3,15-12-15,13.58,0.453,6324.46,93715.11
V008,CD01,40,CD01-C008-C005-CD01,2,20-20,22.1,0.737,10292.33,121141.29
